index,word,occurrence
1714,believes,5
8426,believing,3
9088,bell,11
5293,bellies,2
8649,bellowed,3
9186,bells,2
7175,bellshaped,1
9092,bellthe,1
2425,belly,12
2198,belong,5
2199,belonged,6
1187,belonging,1
8249,belongings,2
3804,belongs,8
2122,beloved,2
657,below,33
8758,belowground,1
1247,belt,49
8883,belts,1
3321,bench,16
5457,benches,3
871,bend,9
7877,bending,2
4970,bends,1
486,beneath,13
2086,beneficiaries,1
2089,benefit,5
6733,benefited,1
7560,benefits,1
934,bent,32
485,berries,25
8528,berry,1
2356,berth,2
1273,beseeching,2
653,beside,25
815,besides,17
371,best,86
7475,bestest,8
9052,bestial,1
3201,bet,9
2476,betray,9
9456,betrayal,1
1032,betrayed,20
5844,betraying,5
9422,bets,1
385,better,157
1087,between,132
1833,bewildered,5
3848,bewilderment,3
8094,bewitch,1
7808,bewitched,1
3839,bewitching,3
2375,beyond,53
7605,bid,1
4016,bidden,2
4182,bidding,3
8492,biding,1
300,big,220
475,bigger,21
3791,biggest,13
4359,bill,42
5535,bills,4
7960,bind,1
8805,binding,3
1115,birch,10
1119,birches,2
5073,bird,168
544,birds,20
3561,birth,2
6915,birthright,1
8389,biscuit,3
8377,biscuits,2
428,bit,53
8910,bitch,5
504,bite,49
1726,bites,6
2450,biting,9
6399,bits,2
3329,bitten,2
2720,bitter,8
5207,bitterly,6
3528,bitterness,2
7134,bittertasting,1
8828,bivouacked,1
9465,bizarre,1
1121,black,86
8011,blackand,1
5169,blacked,1
3418,blackened,2
8107,blackexcept,1
2852,blackness,28
9302,blacktipped,2
1243,blade,50
4890,blades,3
3508,blame,4
8342,blaming,1
9604,blanched,1
6478,blank,6
2573,blanket,30
3141,blanketing,1
5270,blankets,10
7208,blankly,7
4522,blast,3
8793,blasted,2
9210,blasting,1
4498,blasts,1
3412,blaze,1
6239,blazed,1
5707,bleached,2
7241,bleakly,1
8975,bled,2
5250,bleed,4
4202,bleeding,3
5662,blended,1
3477,blending,2
8654,blessings,1
2787,blew,20
1072,blind,19
4529,blinded,3
4464,blindfolded,1
4518,blinding,4
6202,blindly,2
5805,blinds,1
2461,blink,13
3490,blinked,24
8384,blinking,3
8399,blinks,1
8610,bliss,1
2768,blister,1
6166,block,8
1021,blocked,7
1227,blocking,3
4850,blocks,4
1237,blond,20
9475,blondhaired,1
304,blood,133
4827,bloodcurdling,1
7392,bloodied,1
7673,bloodless,3
9667,bloodlines,1
8886,bloodred,1
6913,bloodsoaked,3
4035,bloodstains,1
4608,bloodstreaked,1
4993,bloodthirsty,1
9537,bloodthroat,1
1353,bloody,6
1564,bloom,2
7648,blossom,1
9353,blossoming,1
3140,blossoms,1
7764,blotchy,1
9285,blotting,1
1987,bloused,1
4113,blow,10
7105,blowing,2
8039,blown,3
4146,blows,1
201,blue,74
4548,blueandyellow,1
6291,blueberry,4
9478,blueeyed,3
3466,blues,1
4700,bluff,1
7080,bluffing,1
9513,bluish,1
1175,blunt,7
899,blur,4
7966,blurred,1
8937,blurring,1
6660,blurted,2
1434,blush,1
1429,blushing,1
2466,boar,9
6851,board,3
7807,boast,2
6189,boastful,1
8035,boats,1
8449,bob,1
5687,bobbed,2
7351,bobbing,1
1504,bodies,17
299,body,72
4275,bog,10
7723,boggy,1
2686,boil,3
1801,boiled,8
4274,boiling,5
7908,boils,1
7883,bold,1
7174,boldas,5
9029,bolder,1
4269,bolt,19
2513,bolted,3
1625,bolts,9
2117,bond,1
8115,bonded,3
4914,bonds,2
564,bone,54
4562,bones,42
3222,bony,22
2306,book,183
2371,books,21
4684,booming,2
7971,boost,1
4542,boot,19
3153,boots,20
2399,booty,1
6177,border,3
3835,bordered,1
8175,bordering,1
958,bore,5
4411,bored,5
8931,boring,2
1533,born,30
4651,borrow,3
9292,borrowed,1
7967,botch,1
1302,both,198
2102,bother,13
4007,bothered,5
1248,bothering,1
4256,bothers,1
3039,bottle,3
7509,bottles,1
718,bottom,40
6828,bottomless,2
6532,bottoms,2
8308,bough,1
2580,boughs,5
4300,bought,2
648,boulder,12
1383,boulders,7
5302,bounce,2
4496,bounced,3
9078,bouncing,1
6802,bound,5
2079,boundaries,11
329,boundary,266
4906,boundarys,1
7755,bounded,3
4204,bounds,2
6119,bouquets,1
2211,bow,29
2090,bowed,55
6086,bowing,5
1878,bowl,71
6477,bowlful,2
6472,bowls,7
8674,bowmen,1
6546,bows,4
6989,bowstrings,1
3526,box,257
8410,boxafter,1
3176,boxes,96
205,boy,134
8263,boyanother,1
6091,boyfriends,1
1672,boys,25
1615,brace,3
937,braced,5
7426,bracelets,1
6873,bracing,2
5973,brackets,2
9459,bragging,1
8884,braid,21
3813,braided,3
7861,braiding,1
6391,brain,8
7205,brake,1
4837,bramble,3
2268,branch,13
4755,branched,1
604,branches,26
6812,branching,1
8731,brandin,1
4334,brandishing,1
1635,brandstone,5
6338,brass,1
8692,brassclad,1
4391,brave,29
7397,bravely,1
7958,braver,1
4401,bravest,3
5504,breach,1
1887,bread,96
1820,breads,1
1147,break,34
4708,breakfast,5
4438,breaking,11
3378,breaks,2
5849,breast,9
7584,breastplates,1
7348,breasts,9
623,breath,182
1071,breathe,31
2406,breathed,18
5748,breathes,1
822,breathing,64
3847,breathless,2
8992,breathlessly,3
855,breaths,11
7742,breathtaking,1
9048,breathtakingly,2
122,breeze,12
6636,breginderin,3
5412,brew,1
6612,bribes,1
6131,brick,4
6741,bricks,2
4846,bridge,32
6533,bridges,3
1323,brief,14
8614,briefest,3
1040,briefly,9
1154,bright,31
4799,brighten,2
1849,brightened,10
8211,brightening,3
5151,brighter,2
7159,brightest,2
4714,brightly,7
636,brightness,6
7545,brilliance,1
1941,bring,93
6269,bringer,6
872,bringing,30
5796,brings,6
3843,brink,8
8460,bristled,1
9008,bristles,1
7151,bristling,3
5825,brittle,1
2282,broached,1
4254,broad,4
1198,broaden,1
1600,broke,44
2338,broken,39
6697,brokered,1
7427,brooches,1
407,brooded,2
2630,brook,4
7146,broom,2
7483,brooms,1
6068,brophy,59
7457,brophys,6
244,brother,82
5112,brotherhood,1
